gain	0	1	-72
gain	1	0	-72
gain	0	2	-72
gain	2	0	-72
gain	0	3	-72
gain	3	0	-72
gain	0	4	-72
gain	4	0	-72
gain	0	5	-100
gain	5	0	-100
gain	0	6	-100
gain	6	0	-100
gain	0	7	-100
gain	7	0	-100
gain	0	8	-100
gain	8	0	-100
gain	0	9	-100
gain	9	0	-100
gain	0	10	-100
gain	10	0	-100
gain	0	11	-100
gain	11	0	-100
gain	1	2	-72
gain	2	1	-72
gain	1	3	-72
gain	3	1	-72
gain	1	4	-100
gain	4	1	-100
gain	1	5	-72
gain	5	1	-72
gain	1	6	-72
gain	6	1	-72
gain	1	7	-100
gain	7	1	-100
gain	1	8	-100
gain	8	1	-100
gain	1	9	-100
gain	9	1	-100
gain	1	10	-100
gain	10	1	-100
gain	1	11	-100
gain	11	1	-100
gain	2	3	-100
gain	3	2	-100
gain	2	4	-100
gain	4	2	-100
gain	2	5	-100
gain	5	2	-100
gain	2	6	-72
gain	6	2	-72
gain	2	7	-100
gain	7	2	-100
gain	2	8	-72
gain	8	2	-72
gain	2	9	-100
gain	9	2	-100
gain	2	10	-100
gain	10	2	-100
gain	2	11	-72
gain	11	2	-72
gain	3	4	-100
gain	4	3	-100
gain	3	5	-100
gain	5	3	-100
gain	3	6	-100
gain	6	3	-100
gain	3	7	-100
gain	7	3	-100
gain	3	8	-100
gain	8	3	-100
gain	3	9	-100
gain	9	3	-100
gain	3	10	-100
gain	10	3	-100
gain	3	11	-100
gain	11	3	-100
gain	4	5	-100
gain	5	4	-100
gain	4	6	-100
gain	6	4	-100
gain	4	7	-100
gain	7	4	-100
gain	4	8	-100
gain	8	4	-100
gain	4	9	-100
gain	9	4	-100
gain	4	10	-100
gain	10	4	-100
gain	4	11	-100
gain	11	4	-100
gain	5	6	-72
gain	6	5	-72
gain	5	7	-72
gain	7	5	-72
gain	5	8	-100
gain	8	5	-100
gain	5	9	-100
gain	9	5	-100
gain	5	10	-100
gain	10	5	-100
gain	5	11	-100
gain	11	5	-100
gain	6	7	-72
gain	7	6	-72
gain	6	8	-72
gain	8	6	-72
gain	6	9	-100
gain	9	6	-100
gain	6	10	-100
gain	10	6	-100
gain	6	11	-100
gain	11	6	-100
gain	7	8	-72
gain	8	7	-72
gain	7	9	-72
gain	9	7	-72
gain	7	10	-100
gain	10	7	-100
gain	7	11	-100
gain	11	7	-100
gain	8	9	-72
gain	9	8	-72
gain	8	10	-72
gain	10	8	-72
gain	8	11	-72
gain	11	8	-72			
gain	9	10	-72
gain	10	9	-72
gain	9	11	-100
gain	11	9	-100
gain	10	11	-72
gain	11	10	-72
